"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_NRCS_1991_2020_Average_Water_Year_Peak","Percent_NRCS_1991_2020_Median_Water_Year_Peak","Percent_of_POR_Average_Water_Year_Peak","Percent_of_POR_Median_Water_Year_Peak","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Shower Falls","754	","Montana","SNOTEL","Gallatin","8060","45.40125","-110.95758","100200081001	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","3.1","63","65","65","66","91","11","12","11","11","-1.6","17","51","11",,"4.9","4.8","4.8","4.7","1.8","8.9","1999, 2014","1969, 2019","61"
"Shuree","1169	","New Mexico","SNOTEL","Taos","10080","36.78765","-105.2392","130201010102	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","29","40","33","100","100","3","3","3","3","0","47","9","6",,"0.7","0.5","0.6","0.2","0","2.2","2019, 2021, 2023, more","2015","16"
"Sierra Blanca","1034	","New Mexico","SNOTEL","Lincoln","10250","33.40682","-105.79467","130600080103	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.6","100","300","120","300","100","6","7","7","9","0.4","70","8","16",,"0.6","0.2","0.5","0.2","0","1.7","2020, 2021, 2023, more","2013","24"
"Signal Peak","755	","New Mexico","SNOTEL","Grant","8390","32.92342","-108.14546","150400010803	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0",,"0",,,"0","0","0","0","0","80","10","1","Lowest","0.2","0","0.1","0","0","1.6","2023, 2024, 2025, more","2000","46"
"Silver Creek","756	","Oregon","SNOTEL","Lake","5750","42.95615","-121.18123","171200050206	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","20","50","14","50","100","1","1","1","1","-0.1","49","24","23",,"0.5","0.2","0.7","0.2","0","4.4","2019, 2021, 2023, more","1984","46"
"Silver Creek Divide","757	","New Mexico","SNOTEL","Catron","9080","33.3696","-108.70711","150400040605	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.9","180","450","180","450","100","10","10","9","10","0.7","82","9","37",,"0.5","0.2","0.5","0.2","0","4.3","2016, 2017, 2021, more","2000","46"
"Silver Lake","SIL	","California","Cooperator Snow Sensors","El Dorado","7140","38.678","-120.118","180201290102	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.5","56","100","50","100","50","2","2","2","2","0","54","17","16",,"0.9","0.5","1","0.5","0","4.4","2018, 2019, 2023, more","2004","36"
"Silvies","759	","Oregon","SNOTEL","Harney","7000","42.75333","-118.68785","171200030201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1","15","40","1","Lowest","1.1","1","1.3","1","0","4.7","2018, 2019, 2025, more","1984","47"
"Skalkaho Summit","760	","Montana","SNOTEL","Granite","7260","46.24212","-113.7725","170102021003	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.4","14","14","14","14","36","2","2","2","2","-2.4","2","49","1","Lowest","2.9","2.9","2.8","2.8","0.4","5.5","2016, 2025","1984","50"
"Skate Creek","1257	","Washington","SNOTEL","Lewis","3770","46.64336","-121.83044","170800040505	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0",,,"0","0","0",,,"0","0","-0.4","27","9","1","Lowest",,,"1.9","0.4","0","8.1","2018, 2019, 2025, more","2017","12"
"Skoki Lodge","05CA805	","Alberta","Cooperator Snow Sensors","	","6955","51.54056","-116.05639","	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,,,"2","2","2","2","2024","2024","1"
"Skookum Creek","912	","Washington","SNOTEL","King","3310","47.68433","-121.61007","171100100503	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1","33","21","1","Lowest","1.5","0.7","1.5","1","0","5.9","2018, 2019, 2025, more","2017","31"
"Slagamelt Lakes","1286	","Montana","SNOTEL","Beaverhead","8600","45.36526","-113.71834","100200040308	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.9",,,"64","64","100",,,"10","10","-1.6","0","6","1","Lowest",,,"4.5","4.5","2.9","6.6","2025","2020","6"
"Slate Creek","SLT	","California","Cooperator Snow Sensors","Shasta","5700","41.045","-122.478","180200050304	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","-0.1","-8",,"-9",,"-20","0","0","0","0","-0.1","0","35","1","Lowest","1.2","0","1.1","0","-0.1","10.4","2025","1997","35"
"Sleeping Woman","783	","Montana","SNOTEL","Sanders","6120","47.17902","-114.33371","170102120708	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.8","6","33","1","Lowest","1.8","1.8","1.8","1.8","0","5.2","2001, 2008, 2025","1996","35"
"Slide Canyon","SLI	","California","Cooperator Snow Sensors","Tuolumne","9280","38.092","-119.43","180400090501	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,"3.3","2.3","4","2.6","0","13.2","2014, 2018, 2020, more","1984","36"
"Slug Creek Divide","761	","Idaho","SNOTEL","Caribou","7240","42.56248","-111.29797","170402070201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.6","55","55","43","50","86","4","4","4","4","-0.6","27","34","11",,"1.1","1.1","1.4","1.2","0","4","2001, 2004, 2007, more","1985","46"
"Slumgullion","762	","Colorado","SNOTEL","Hinsdale","11560","37.99076","-107.20392","140200020502	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.2","38","38","38","39","100","8","8","8","8","-1.9","13","40","7",,"3.2","3.2","3.2","3.1","0.3","6.6","1980","1985","46"
"Smiley Mountain","926	","Idaho","SNOTEL","Custer","9540","43.72718","-113.83402","170402180102	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","3.8","112","119","115","119","100","18","19","18","19","0.6","67","9","16",,"3.4","3.2","3.3","3.2","0.4","7.4","2018","2017","25"
"Smith  Morehouse","763	","Utah","SNOTEL","Summit","7640","40.78931","-111.09192","160201010203	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0",,"0","0","0","0","-1.3","6","45","1","Lowest","1.2","1.2","1.4","1.3","0","4.9","2007, 2021, 2025, more","1984","48"
"Smith Ridge","1167	","Oregon","SNOTEL","Linn","3270","44.30325","-122.04053","170900040203	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0",,,"0",,,,,"0","0","0","64","6","1","Lowest",,,"0.4","0","0","2.1","2021, 2023, 2025, more","2024","15"
"Snake River Station","764	","Wyoming","SNOTEL","Teton","6900","44.13361","-110.66917","170401010402	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.7","6","35","1","Lowest","1.8","1.7","1.8","1.7","0","3.9","1999, 2001, 2025","2017","37"
"Snider Basin","765	","Wyoming","SNOTEL","Sublette","8080","42.4949","-110.53203","140401010906	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","12","12","12","12","50","1","1","1","2","-1.4","11","41","6",,"1.7","1.6","1.7","1.6","0","5.1","2001, 2016, 2023, more","1995","46"
"Snow Mountain","767	","Oregon","SNOTEL","Harney","6230","43.94885","-119.54013","171200020501	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.4","43","28","1","Lowest","0.8","0.4","0.9","0.4","0","4","2021, 2023, 2025, more","2024","48"
"Snow Mountain","SNM	","California","Cooperator Snow Sensors","Shasta","5900","40.778","-121.782","180200031102	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,"1.2","0.6","1.5","0.7","0","9.7","2018, 2019, 2021, more","1984","35"
"Snowbird","766	","Utah","SNOTEL","Salt Lake","9170","40.56914","-111.65852","160202040202	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-4.1","0","37","1","Lowest","4.3","4.1","4.3","4.1","0","13","2025","2004","37"
"Snowslide Canyon","927	","Arizona","SNOTEL","Coconino","9720","35.34179","-111.65084","150200160201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","5.5","275","500","262","458","100","29","33","28","31","4.3","89","4","26",,"2","1.1","2.1","1.2","0","6.7","1999, 2016, 2017","2000","29"
"Soldier Park","1132	","Wyoming","SNOTEL","Johnson","8680","44.34847","-107.0136","100902060103	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.8","7","15","1","Lowest","1.4","1.2","0.9","0.8","0","3.1","2023, 2025","2011","16"
"Soldier R.S.","769	","Idaho","SNOTEL","Camas","5780","43.48407","-114.82692","170402200303	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","29","50","29","100","67","2","2","2","2","0","51","20","19",,"0.7","0.4","0.7","0.2","0","2.8","2018, 2019, 2023, more","1994","40"
"Somsen Ranch","770	","Idaho","SNOTEL","Caribou","6830","42.95275","-111.35933","170402070101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.2","16","39","1","Lowest","1.1","1.2","1.2","1.2","0","3.1","2007, 2023, 2025, more","1984, 1986, 2022","46"
"Sonora Pass","771	","California","SNOTEL","Mono","8770","38.31021","-119.6003","160503020104	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.6","38","60","30","46","60","2","3","2","2","-0.7","32","33","14",,"1.6","1","2","1.3","0","7.4","2016, 2018, 2019, more","1983","48"
"Sourdough Gulch","985	","Washington","SNOTEL","Asotin","3970","46.23713","-117.39435","170601030202	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0",,"0",,,"0","0","0","0","0","68","9","1","Lowest","0.1","0","0.1","0","0","1","2021, 2023, 2025, more","2011","26"
"South Brush Creek","772	","Wyoming","SNOTEL","Carbon","8480","41.3295","-106.5025","101800020303	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.5","25","25","28","29","100","4","4","4","4","-1.2","13","40","6",,"2","2","1.8","1.7","0.2","4.7","2016, 2021, 2023, more","1996","46"
"South Colony","773	","Colorado","SNOTEL","Custer","10790","37.96647","-105.53671","110200011206	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1","27","25","29","28","100","5","5","5","5","-2.6","12","31","4",,"3.7","4","3.5","3.6","0.4","7.9","1995","1991","35"
"South Fork Bull Run","925	","Oregon","SNOTEL","Clackamas","2690","45.44575","-122.03125","170800010504	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0",,"0",,,"0","0","0","0","0","68","10","1","Lowest","0.2","0","0.3","0","0","1.7","2020, 2021, 2025, more","2011","29"
"South Lake","SLK	","California","Cooperator Snow Sensors","Inyo","9690","37.176","-118.562","180901020601	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.4","117","175","100","175","100","8","8","8","10","0.6","65","14","25",,"1.2","0.8","1.4","0.8","0","5.2","2018, 2019, 2021, more","2004","38"
"South Mtn.","774	","Idaho","SNOTEL","Owyhee","6650","42.76476","-116.90029","170501080205	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.9","27","33","1","Lowest","1","0.8","1.4","0.9","0","6.6","2018, 2019, 2025, more","1984","45"
"South Pass","775	","Wyoming","SNOTEL","Fremont","9040","42.57314","-108.84324","100800030101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.9","70","68","68","70","100","11","11","11","12","-0.8","30","29","13",,"2.7","2.8","2.8","2.7","0","6.8","2007","1986","41"
"South Racehorse Creek","05AA817	","Alberta","Cooperator Snow Sensors","	","6299","49.78333","-114.6","	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,,,"2.1","2.1","2.1","2.1","2024","2024","1"
"Southesk","05DD804	","Alberta","Cooperator Snow Sensors","	","6709","52.67083","-117.22556","	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,,,"2.1","2.1","2.1","2.1","2024","2024","1"
"Spencer Meadow","776	","Washington","SNOTEL","Skamania","3400","46.1795","-121.92661","170800020108	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","4","7","5","7","5","0","0","0","0","-1.3","29","31","13",,"2.3","1.4","2.2","1.4","0","9.4","2018, 2019, 2021, more","1994","43"
"Spirit Lake","777	","Washington","SNOTEL","Skamania","3520","46.26113","-122.1772","170800050502	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0",,"0","0","0","0","-0.2","44","24","1","Lowest","0.8","0.1","0.8","0.2","0","7.8","2018, 2019, 2025, more","1994","42"
"Spirit Lk","1117	","Utah","SNOTEL","Daggett","10240","40.83868","-110.00527","140401060501	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2","91","87","87","87","100","13","14","13","15","-0.3","31","12","5",,"2.2","2.3","2.3","2.3","0.7","4","2016","2022","17"
"Spratt Creek","778	","California","SNOTEL","Alpine","6060","38.66627","-119.81741","160502010107	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","50",,"33",,"100",,,"1","2","0.1","71","14","32",,"0.2","0","0.3","0","0","2.6","2021, 2023, 2024, more","1994","46"
"Spring Creek Divide","779	","Wyoming","SNOTEL","Sublette","9020","42.52516","-110.66148","140401011001	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.7","73","71","73","77","100","9","10","10","10","-0.8","24","35","12",,"3.7","3.8","3.7","3.5","0.4","8.3","1993","1985","46"
"Spruce Springs","984	","Washington","SNOTEL","Garfield","5690","46.18287","-117.54155","170601030201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.8","24","20","1","Lowest","0.9","0.8","0.9","0.8","0","2.6","2019, 2023, 2025, more","2011","26"
"Spud Mountain","780	","Colorado","SNOTEL","San Juan","10660","37.69883","-107.77841","140801040202	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,"3.4","2.6","3.4","2.7","0","12.4","2001, 2007, 2016, more","1986","39"
"Spur Park","781	","Montana","SNOTEL","Judith Basin","8080","46.77962","-110.62165","100401030301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.4","60","63","62","63","100","10","10","9","10","-1.4","17","50","10",,"4","3.8","3.9","3.8","0.4","8.2","1987","1985","60"
"Spuzzum Creek","1D19P	","British Columbia","Cooperator Snow Sensors","	","3927","49.65","-121.65","	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,"5.8","4.9","5.7","4.8","0","19.5","2014","2009","26"
"Squamish Upper","3A25P	","British Columbia","Cooperator Snow Sensors","	","4551","50.15","-123.43333","	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.9","39","43","39","45","63","4","4","4","4","-3.5","21","28","8",,"7.5","6.7","7.4","6.4","0.1","20.8","2011, 2014","2009","35"
"St. Lawrence Alt","786	","Wyoming","SNOTEL","Fremont","8610","43.03312","-109.17021","100800020105	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0",,,"0","0",,,,"0","0","-1.1","10","39","1","Lowest",,,"1.2","1.1","0","3.6","2015, 2023, 2025, more","1986","43"
"St. Leon Creek","2B08P	","British Columbia","Cooperator Snow Sensors","	","5978","50.43333","-117.7","170200210000	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","7.5","82","83","82","83","100","16","16","16","16","-1.5","27","25","10",,"9.2","9","9.2","9","2.8","17.9","2000","1995","34"
"Stahl Peak","787	","Montana","SNOTEL","Lincoln","6040","48.90902","-114.86298","170101010801	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","6.5","96","98","97","100","100","16","16","17","17","0","50","26","26",,"6.8","6.6","6.7","6.5","2.2","11.6","1987, 2000","1990","51"
"Stampede Pass","788	","Washington","SNOTEL","King","3850","47.27427","-121.34162","171100130103	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.8","9","40","1","Lowest","2.9","1.5","3.3","1.8","0","16.1","2016, 2019, 2025, more","1994","44"
"Stanislaus Meadow","SLM	","California","Cooperator Snow Sensors","Alpine","7750","38.505","-119.937","180400100301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,"2.3","2.3","2.5","2.3","0","8.6","2013, 2018, 2021, more","2004","33"
"Starr Ridge","789	","Oregon","SNOTEL","Grant","5240","44.26423","-119.02162","171200020102	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0",,"0",,,"0","0","0","0","0","56","21","1","Lowest","0.3","0","0.4","0","0","2.2","2021, 2023, 2025, more","2024","46"
"State Lakes","STL	","California","Cooperator Snow Sensors","Fresno","10350","36.927","-118.574","180300100305	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0",,"0","0",,"0","0","0","0","-1","36","31","1","Lowest","1.2","0","1.9","1","0","7.9","2019, 2024, 2025, more","1996","48"
"State Line","1258	","California","SNOTEL","Modoc","5690","41.98609","-120.71574","180102040201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0",,,"0",,"0",,,"0","0","0","73","4","1","Lowest",,,"0.1","0","0","0.8","2021, 2023, 2025, more","2022","12"
"Steel Creek Park","790	","Utah","SNOTEL","Summit","10140","40.90862","-110.50462","140401070203	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.7","100","104","90","100","100","14","14","14","15","0","51","24","24",,"2.7","2.6","3","2.7","0.4","6.5","2016","1982","48"
"Stevens Pass","791	","Washington","SNOTEL","King","3940","47.74607","-121.09288","171100090102	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-2.4","11","41","1","Lowest","3.2","2.2","3.5","2.4","0","13","2018, 2019, 2025, more","1984","46"
"Stickney Mill","792	","Idaho","SNOTEL","Custer","7440","43.86117","-114.20902","170402180303	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.4","50","44","50","50","40","5","5","5","5","-0.4","31","32","13",,"0.8","0.9","0.8","0.8","0","2.4","2018, 2019, 2021, more","2017","46"
"Stillwater Creek","793	","Colorado","SNOTEL","Grand","8760","40.22532","-105.9198","140100010306	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1",,,"11","12","25",,,"1","1","-0.7","20","33","7",,,,"0.9","0.8","0","3.1","2007, 2021, 2022, more","1996","41"
"Stouts Meadow","STM	","California","Cooperator Snow Sensors","Shasta","5250","41.17","-121.938","180200040208	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.6","50","300","38","100","60","1","2","2","2","0","49","19","18",,"1.2","0.2","1.6","0.6","0","9.4","2018, 2019, 2021, more","1997","36"
"Strawberry","794	","Oregon","SNOTEL","Lake","5760","42.12587","-120.8361","180102040501	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","100",,"67",,"100","3","3","3","3","0.2","73","13","32",,"0.2","0","0.3","0","0","4.3","2019, 2021, 2023, more","1994","46"
"Strawberry Divide","795	","Utah","SNOTEL","Wasatch","8100","40.16483","-111.20665","140600040103	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1","13","42","1","Lowest","1.3","0.9","1.4","1","0","5.1","2007, 2019, 2025, more","1996","48"
"Stringer Creek","1009	","Montana","SNOTEL","Meagher","6550","46.9269","-110.90198","100301030801	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.6","4","24","1","Lowest","1.7","1.6","1.7","1.6","0","3.8","2016, 2025","2019","25"
"Stryker Basin","1311	","Montana","SNOTEL","Flathead","6200","48.68005","-114.66365","170102100501	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","3.7",,,"76","74","92",,,"12","12","-1.3","0","3","1","Lowest",,,"4.9","5","3.7","6","2025","2023","3"
"Stuart Mountain","901	","Montana","SNOTEL","Missoula","7270","46.99521","-113.92667","170102040102	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","3.5","80","76","80","76","81","10","10","10","10","-1.1","32","22","10",,"4.4","4.6","4.4","4.6","1.1","7.4","1999","1996","32"
"Stump Lakes","797	","Colorado","SNOTEL","La Plata","11230","37.47647","-107.63348","140801040702	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.1","32","34","32","35","100","6","6","6","6","-2","18","33","8",,"3.4","3.2","3.4","3.1","0","10.9","1989, 1999, 2001","1986","40"
"Sucker Creek","798	","Wyoming","SNOTEL","Sheridan","8840","44.72279","-107.40035","100901010203	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-2.6","0","48","1","Lowest","2.9","3","2.6","2.6","0","5.5","2025","2011","48"
"Summer Rim","800	","Oregon","SNOTEL","Lake","7080","42.6957","-120.80158","180102020103	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0",,,"0","0","0",,,"0","0","-0.8","23","37","1","Lowest",,,"1.5","0.8","0","7.4","2019, 2021, 2025, more","1984","48"
"Summit Creek","955	","Alaska","SNOTEL","Kenai Peninsula","1340","60.61713","-149.53128","190203020401	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.9","106","112","95","100","100","17","17","17","16","0","53","18","19",,"1.8","1.7","2","1.9","0","4.9","2014, 2018, 2019","1992","37"
"Summit Lake","801	","Oregon","SNOTEL","Klamath","5610","43.44907","-122.13808","170703020203	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.5","14","13","12","13","36","1","1","1","1","-3.4","11","41","6",,"3.7","3.8","4.1","3.9","0","13.4","1993, 1995, 2019","1984","46"
"Summit Lk","1194	","Nevada","SNOTEL","Humboldt","7590","41.48953","-118.99663","160402021301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1",,,"12","12","12",,,"1","1","-0.7","36","10","5",,,,"0.8","0.8","0","2.8","2016, 2018, 2019, more","2020","15"
"Summit Meadow","1052	","California","SNOTEL","Mono","9360","38.39747","-119.53522","160503020203	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.1","110",,"100","157","69","4","5","4","6","0.4","64","9","15",,"1","0","1.1","0.7","0","5.4","2018, 2019, 2021, more","2004","23"
"Summit Ranch","802	","Colorado","SNOTEL","Summit","9350","39.71803","-106.1577","140100020502	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.6","35","35","35","35","100","5","5","5","5","-1.1","9","42","4",,"1.7","1.7","1.7","1.7","0.1","4","1999","1984","46"
"Sun Pass","1078	","Oregon","SNOTEL","Klamath","5400","42.78637","-121.97715","180102010602	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.4","32","14","1","Lowest","0.7","0.4","1","0.4","0","6.3","2019, 2021, 2025, more","2024","20"
"Sunflower Flat","1249	","Utah","SNOTEL","Garfield","10010","38.048","-111.33981","140700030406	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","3.5",,,"269","389","100",,,"25","30","2.6","100","1","13","Highest",,,"1.3","0.9","0","3.5","2016, 2017","2025","13"
"Sunset","803	","Idaho","SNOTEL","Shoshone","5580","47.55545","-115.82422","170103020102	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-2.3","7","42","1","Lowest","2.4","1.8","2.8","2.3","0","10.4","2008, 2019, 2025, more","1984","45"
"Sunshine Village","05BB803	","Alberta","Cooperator Snow Sensors","	","7316","51.08333","-115.78333","	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,,,"4.7","4.7","4.7","4.7","2024","2024","1"
"Surprise Lakes","804	","Washington","SNOTEL","Skamania","4280","46.09497","-121.76345","170800020107	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-2.5","9","43","1","Lowest","3.9","1.8","4.3","2.5","0","16.4","2018, 2019, 2025, more","2005","47"
"Susitna Valley High","967	","Alaska","SNOTEL","Matanuska-Susitna","360","62.13245","-150.04391","190205050105	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","5","6","5","5","17","1","1","1","1","-1.8","8","36","3",,"2.1","1.8","2.1","1.9","0","5.4","2014, 2018","1996","39"
"Suu Ranch","1248	","Utah","SNOTEL","Iron","8050","37.59711","-112.92949","160300060306	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.9",,,"129","225","100",,,"8","9","0.5","75","4","10",,,,"0.7","0.4","0","2.5","2018, 2021","2022","13"
"Swamp Creek","975	","Washington","SNOTEL","Skagit","3930","48.57142","-120.78267","171100050503	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.4","25","27","24","27","33","2","2","2","2","-1.1","27","20","8",,"1.6","1.5","1.7","1.5","0","6.5","2014, 2018, 2019, more","2003","27"
"Swan Lake Mtn","1077	","Oregon","SNOTEL","Klamath","6840","42.41323","-121.68002","180102040802	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","7","8","7","8","17","0","0","0","0","-1.2","26","15","5",,"1.4","1.3","1.5","1.3","0","4.5","2019, 2021, 2023, more","2024","20"
"Swede Peak","805	","Idaho","SNOTEL","Blaine","7640","43.626","-113.96887","170402210301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","14","14","13","14","33","1","1","1","1","-1.2","16","38","6",,"1.4","1.4","1.5","1.4","0","4.8","2016, 2018, 2019, more","1996","45"
"Swift Creek","1012	","Washington","SNOTEL","Skamania","4440","46.1638","-122.18402","170800020304	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,"5.2","5","5.8","5.4","0","17.5","2008, 2018, 2019, more","2017","23"
"Sylvan Lake","806	","Wyoming","SNOTEL","Park","8440","44.47764","-110.15651","100700010404	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.7","45","46","45","45","94","8","8","8","8","-2.1","4","44","3",,"3.8","3.7","3.8","3.8","0.3","8","1999","2017","46"
"Sylvan Road","807	","Wyoming","SNOTEL","Park","7140","44.47825","-110.03808","100800120103	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.7","0","39","1","Lowest","1.8","1.8","1.7","1.7","0","3.9","2025","1995, 2017","39"
"Tahoe City Cross","809	","California","SNOTEL","Placer","6760","39.17162","-120.15362","160501010101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0",,"0",,,"0","0","0","0","0","64","17","1","Lowest","0.2","0","0.6","0","0","4.4","2023, 2024, 2025, more","1983","45"
"Tahtsa Lake","1B02P	","British Columbia","Cooperator Snow Sensors","	","4327","53.58333","-127.63333","	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,"10","8.8","9.6","8.1","0.2","28.4","2019","2001","31"
"Takka Wiiya","1247	","Utah","SNOTEL","Juab","9110","39.74104","-113.98262","160203060804	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2",,,"17","14","50",,,"1","2","-1.2","8","12","2","2nd Lowest",,,"1.2","1.4","0","3.1","2018","2022","13"
